,Activity_Type,Date,Title,Distance,Calories,Time,Avg_HR,Max_HR,Aerobic_TE,Avg_Speed,Max_Speed,Total_Ascent,Total_Descent,Avg_Cadence,Max_Cadence,Normalized_Power,Training_Stress_Score,Max_Avg_Power(20min),Avg_Power,Max_Power,Total_Strokes,Min_Temp,Moving_Time,Elapsed_Time,Min_Elevation,Max_Elevation,Bike
121,Road Cycling,2021-09-04 11:28:00,Prato allo Stelvio Silniční cyklistika,63.53,2518.0,0 days 03:44:48,151,176,5.0,17.0,71.8,1882,1869,68,97,0,0.0,0,0,0,11845,4.0,0 days 03:44:07,0 days 04:36:14,893,2722,Roubaix
122,Gravel Cycling,2021-09-03 08:54:00,Praha Cyklistika na nezpevněných cestách,43.76,935.0,0 days 01:50:24,129,165,2.9,23.8,41.3,132,132,0,0,0,0.0,0,0,0,0,12.0,0 days 01:47:36,0 days 03:22:33,195,220,Bergamont
123,Gravel Cycling,2021-09-02 17:22:00,Praha Cyklistika na nezpevněných cestách,31.96,812.0,0 days 01:36:25,128,171,2.7,19.9,47.0,331,318,0,0,0,0.0,0,0,0,0,15.0,0 days 01:35:50,0 days 01:43:06,196,317,Bergamont
124,Gravel Cycling,2021-08-29 15:14:00,Praha Cyklistika na nezpevněných cestách,15.57,287.0,0 days 00:48:07,107,129,0.9,19.4,29.3,37,38,0,0,0,0.0,0,0,0,0,13.0,0 days 00:47:51,0 days 00:50:03,190,204,Bergamont
125,Gravel Cycling,2021-08-29 12:30:00,Praha Cyklistika na nezpevněných cestách,25.38,433.0,0 days 01:17:54,105,140,1.2,19.6,37.8,64,60,0,0,0,0.0,0,0,0,0,15.0,0 days 01:17:29,0 days 01:32:21,197,216,Bergamont
126,Gravel Cycling,2021-08-25 16:44:00,SBCR Kopečky 1/10,55.3,1236.0,0 days 02:10:23,137,170,3.3,25.4,47.1,402,409,0,0,0,0.0,0,0,0,0,16.0,0 days 00:00:00,0 days 02:20:09,196,408,Bergamont
127,Road Cycling,2021-08-19 11:52:00,Caldaro sulla Strada del Vino Silniční cyklistika,108.73,2233.0,0 days 04:08:20,134,165,3.6,26.3,56.9,754,795,74,119,0,0.0,0,0,0,16559,23.0,0 days 04:02:49,0 days 04:24:39,258,573,Roubaix
128,Road Cycling,2021-08-17 08:59:00,Caldaro sulla Strada del Vino Silniční cyklistika,39.88,1027.0,0 days 01:26:08,143,174,3.4,27.8,63.7,409,404,80,125,0,0.0,0,0,0,6323,16.0,0 days 01:25:11,0 days 01:30:39,221,573,Roubaix
129,Road Cycling,2021-08-12 08:41:00,Caldaro sulla Strada del Vino Silniční cyklistika,49.72,1198.0,0 days 02:04:26,134,175,3.2,24.0,61.1,680,678,77,111,0,0.0,0,0,0,8452,20.0,0 days 02:04:20,0 days 02:04:43,227,574,Roubaix
130,Road Cycling,2021-08-10 11:02:00,Caldaro sulla Strada del Vino Silniční cyklistika,115.35,2766.0,0 days 04:32:13,142,181,4.5,25.4,56.5,841,843,78,112,0,0.0,0,0,0,18810,23.0,0 days 04:29:34,0 days 05:06:54,256,693,Roubaix
131,Road Cycling,2021-08-06 11:06:00,Caldaro sulla Strada del Vino Silniční cyklistika,107.65,2557.0,0 days 04:18:57,142,175,5.0,24.9,53.7,1287,127,78,107,0,0.0,0,0,0,17666,21.0,0 days 04:17:29,0 days 04:32:31,233,1346,Roubaix
132,Road Cycling,2021-08-05 10:54:00,Caldaro sulla Strada del Vino Silniční cyklistika,40.81,1128.0,0 days 01:53:50,139,177,3.7,21.5,57.5,728,712,72,109,0,0.0,0,0,0,6274,19.0,0 days 01:52:20,0 days 02:04:15,273,578,Roubaix
133,Road Cycling,2021-08-02 10:35:00,Bolzano Silniční cyklistika,127.71,2482.0,0 days 04:27:47,139,161,3.9,28.6,39.9,246,244,81,110,0,0.0,0,0,0,20625,17.0,0 days 04:27:19,0 days 04:58:37,201,259,Roubaix
134,Gravel Cycling,2021-07-29 15:18:00,Praha Cyklistika na nezpevněných cestách,64.1,1211.0,0 days 02:36:34,128,164,2.9,24.6,44.7,207,204,0,0,0,0.0,0,0,0,0,23.0,0 days 02:36:00,0 days 02:40:05,194,239,Bergamont
135,Gravel Cycling,2021-07-28 10:49:00,Praha Cyklistika na nezpevněných cestách,47.17,1094.0,0 days 02:02:29,135,175,3.2,23.1,51.5,356,359,0,0,0,0.0,0,0,0,0,20.0,0 days 02:01:53,0 days 02:08:45,194,401,Bergamont
136,Gravel Cycling,2021-07-25 11:37:00,Praha Cyklistika na nezpevněných cestách,40.74,726.0,0 days 02:01:20,107,138,1.0,20.1,38.1,103,103,0,0,0,0.0,0,0,0,0,24.0,0 days 02:00:31,0 days 02:48:54,197,216,Bergamont
137,Gravel Cycling,2021-07-24 12:36:00,Praha Cyklistika na nezpevněných cestách,36.08,734.0,0 days 01:47:35,113,143,1.3,20.1,40.7,100,97,0,0,0,0.0,0,0,0,0,25.0,0 days 01:46:47,0 days 03:08:07,198,223,Bergamont
138,Road Cycling,2021-07-23 04:08:00,Klínovec Klassics #solo #unsupported,313.64,7307.0,0 days 13:21:28,141,193,5.0,23.5,62.5,4079,4071,71,217,0,0.0,0,0,0,48827,9.0,0 days 13:20:01,0 days 16:50:50,197,1237,Roubaix
139,Gravel Cycling,2021-07-20 17:48:00,Praha Cyklistika na nezpevněných cestách,42.76,926.0,0 days 01:52:50,129,163,2.9,22.7,52.9,329,340,0,0,0,0.0,0,0,0,0,15.0,0 days 01:52:31,0 days 01:58:20,194,374,Bergamont
140,Gravel Cycling,2021-07-18 14:11:00,Praha Cyklistika na nezpevněných cestách,36.39,867.0,0 days 01:46:11,126,163,2.6,20.6,45.8,300,280,0,0,0,0.0,0,0,0,0,23.0,0 days 01:45:36,0 days 01:59:09,196,318,Bergamont
141,Gravel Cycling,2021-07-12 17:28:00,Praha Cyklistika na nezpevněných cestách,73.22,1679.0,0 days 03:39:55,128,185,3.2,20.0,63.7,656,587,0,0,0,0.0,0,0,0,0,17.0,0 days 03:38:47,0 days 04:39:26,197,391,Bergamont
142,Road Cycling,2021-07-09 15:09:00,Caldaro sulla Strada del Vino Silniční cyklistika,0.14,5.0,0 days 00:02:31,0,0,0.0,3.3,5.0,2,1,0,0,0,0.0,0,0,0,0,42.0,0 days 00:02:28,0 days 00:07:16,568,570,Roubaix
143,Road Cycling,2021-07-09 11:49:00,Caldaro sulla Strada del Vino Silniční cyklistika,81.37,1827.0,0 days 03:10:22,141,184,3.9,25.6,62.6,702,686,74,129,0,0.0,0,0,0,13175,23.0,0 days 03:09:11,0 days 03:10:33,227,610,Roubaix
144,Road Cycling,2021-07-07 10:47:00,Caldaro sulla Strada del Vino Silniční cyklistika,88.57,3339.0,0 days 03:34:45,0,0,0.0,24.7,62.0,872,877,74,103,0,0.0,0,0,0,14279,25.0,0 days 03:34:22,0 days 03:49:06,242,670,Roubaix
145,Road Cycling,2021-07-06 16:58:00,Bolzano Silniční cyklistika,26.48,114.0,0 days 01:13:36,0,0,0.0,21.6,43.2,391,86,72,118,0,0.0,0,0,0,5024,25.0,0 days 01:13:07,0 days 01:18:09,238,553,Roubaix
146,Road Cycling,2021-07-02 10:17:00,Caldaro sulla Strada del Vino Silniční cyklistika,100.88,2381.0,0 days 04:33:07,135,172,4.5,22.2,60.3,1807,1799,71,105,0,0.0,0,0,0,16008,20.0,0 days 04:30:36,0 days 04:54:03,258,1502,Roubaix
147,Road Cycling,2021-06-29 10:25:00,8.💯 Trento,118.85,2479.0,0 days 04:32:20,136,177,4.1,26.2,61.0,721,686,75,109,0,0.0,0,0,0,18489,24.0,0 days 04:31:50,0 days 05:14:35,225,607,Roubaix
148,Road Cycling,2021-06-28 09:24:00,Caldaro sulla Strada del Vino Silniční cyklistika,65.56,2068.0,0 days 02:58:37,150,177,5.0,22.0,60.0,1191,116,75,117,0,0.0,0,0,0,11617,24.0,0 days 02:58:29,0 days 03:02:25,231,1348,Roubaix
149,Road Cycling,2021-06-19 04:10:00,Klínovec Klassics,180.27,4566.0,0 days 07:32:58,148,177,5.0,23.9,73.7,2511,2145,0,0,0,0.0,0,0,0,0,13.0,0 days 07:32:24,0 days 10:02:26,195,1202,Roubaix
150,Gravel Cycling,2021-06-15 07:00:00,Praha Cyklistika na nezpevněných cestách,43.96,1345.0,0 days 01:47:04,0,0,0.0,24.6,42.6,111,113,0,0,0,0.0,0,0,0,0,11.0,0 days 01:46:26,0 days 01:56:45,193,210,Bergamont
151,Road Cycling,2021-06-14 19:53:00,Praha Silniční cyklistika,51.62,1058.0,0 days 01:59:03,135,173,3.3,26.0,51.8,421,425,79,113,0,0.0,0,0,0,8456,13.0,0 days 01:58:54,0 days 02:05:46,189,373,Roubaix
152,Road Cycling,2021-06-12 12:54:00,Praha Silniční cyklistika,60.32,1237.0,0 days 02:15:47,140,178,3.6,26.7,64.0,547,537,77,112,0,0.0,0,0,0,9529,23.0,0 days 02:15:39,0 days 02:18:31,194,405,Roubaix
153,Gravel Cycling,2021-06-06 13:35:00,Praha Cyklistika na nezpevněných cestách,62.29,1505.0,0 days 02:24:59,142,167,3.7,25.8,42.7,412,406,0,0,0,0.0,0,0,0,0,23.0,0 days 02:24:00,0 days 03:56:12,183,290,Bergamont
154,Gravel Cycling,2021-06-05 12:58:00,Praha Cyklistika na nezpevněných cestách,43.19,772.0,0 days 02:11:10,109,143,1.4,19.8,37.3,119,108,0,0,0,0.0,0,0,0,0,23.0,0 days 02:10:24,0 days 02:53:29,197,218,Bergamont
155,Road Cycling,2021-06-01 17:46:00,Praha Silniční cyklistika,60.84,1274.0,0 days 02:15:54,139,177,3.5,26.9,57.0,486,485,78,113,0,0.0,0,0,0,9469,14.0,0 days 02:15:37,0 days 02:20:27,194,404,Roubaix
156,Gravel Cycling,2021-05-30 12:09:00,Praha Cyklistika na nezpevněných cestách,27.75,682.0,0 days 01:18:12,130,160,2.4,21.3,46.9,255,237,0,0,0,0.0,0,0,0,0,11.0,0 days 01:17:37,0 days 02:08:21,194,355,Bergamont
