,Activity_Type,Date,Title,Distance,Calories,Time,Avg_HR,Max_HR,Aerobic_TE,Avg_Speed,Max_Speed,Total_Ascent,Total_Descent,Avg_Cadence,Max_Cadence,Normalized_Power,Training_Stress_Score,Max_Avg_Power(20min),Avg_Power,Max_Power,Total_Strokes,Min_Temp,Moving_Time,Elapsed_Time,Min_Elevation,Max_Elevation,Bike
155,Virtual Cycling,2021-11-28 17:31:57,Gent City Trip,29.63,609.0,0 days 00:56:56,141,183,0.0,31.2,47.0,79,37,78,109,205,60.6,205,178,423,0,0.0,0 days 00:56:46,0 days 00:56:56,2,23,Tacx
156,Virtual Cycling,2021-11-27 16:42:39,"Vosges, Col du Hundsruck",16.66,499.0,0 days 00:37:49,156,176,0.0,26.4,71.1,417,426,77,92,240,55.2,258,220,365,0,0.0,0 days 00:37:46,0 days 00:37:49,375,749,Tacx
157,Virtual Cycling,2021-11-26 18:16:47,"Flanders, Oudenaarde Tour 1 - Wortegem-Petegem - 59.1% - 100.0%",15.79,313.0,0 days 00:31:40,142,168,0.0,29.9,58.8,136,139,75,89,188,28.5,187,165,372,0,0.0,0 days 00:31:34,0 days 00:31:40,71,122,Tacx
158,Virtual Cycling,2021-11-26 17:02:34,"Limburg, Haspengouw Blossom",30.75,678.0,0 days 00:57:04,149,178,0.0,32.3,61.6,338,241,78,97,220,70.5,217,198,454,0,0.0,0 days 00:57:03,0 days 00:57:04,71,143,Tacx
159,Indoor Cycling,2021-11-24 19:10:15,SEG W4-T2 Endurance,2.37,43.0,0 days 00:07:18,125,144,0.0,27.2,34.2,0,0,57,137,151,3.0,0,139,371,0,0.0,0 days 00:05:08,0 days 00:07:18,0,0,Tacx
160,Virtual Cycling,2021-11-24 17:58:25,"Flanders, Oudenaarde Tour 1 - Wortegem-Petegem",22.85,473.0,0 days 00:45:33,135,174,0.0,30.1,50.9,153,49,75,88,194,43.5,204,173,367,0,0.0,0 days 00:45:29,0 days 00:45:33,30,103,Tacx
161,Virtual Cycling,2021-11-21 17:55:27,"Giro, Milano - Time Trial",15.57,294.0,0 days 00:31:13,136,166,0.0,29.9,38.0,23,11,76,89,175,24.2,176,157,356,0,0.0,0 days 00:31:12,0 days 00:31:13,131,143,Tacx
162,Virtual Cycling,2021-11-21 16:57:21,Zwift - 2x20 FTP Intervals,25.28,505.0,0 days 00:48:01,139,159,0.0,31.6,52.5,154,0,67,82,202,0.0,233,183,350,0,0.0,0 days 00:47:49,0 days 00:47:59,122,200,Tacx
163,Gravel Cycling,2021-11-20 15:04:37,Praha Cyklistika na nezpevněných cestách,39.97,965.0,0 days 01:43:51,136,169,3.1,23.1,37.9,139,124,0,0,0,0.0,0,0,0,0,7.0,0 days 01:43:37,0 days 01:46:34,193,260,Bergamont
164,Virtual Cycling,2021-11-20 12:09:40,Zwift - FTP Test (shorter) = 256W,26.65,534.0,0 days 00:45:34,157,189,0.0,35.1,62.2,199,0,76,112,236,0.0,269,204,391,0,0.0,0 days 00:45:30,0 days 00:45:33,125,200,Tacx
165,Virtual Cycling,2021-11-17 12:16:03,Zwift - The McCarthy Special,34.32,664.0,0 days 01:00:16,153,189,0.0,34.2,63.1,279,0,73,104,223,0.0,214,192,324,0,0.0,0 days 01:00:10,0 days 01:00:15,125,200,Tacx
166,Virtual Cycling,2021-11-15 21:29:12,Zwift - Makuri Islands,4.89,73.0,0 days 00:09:00,0,0,0.0,32.6,44.8,15,0,73,90,148,0.0,0,141,202,0,0.0,0 days 00:08:57,0 days 00:08:58,125,139,Tacx
167,Virtual Cycling,2021-11-15 20:54:24,Zwift - Jon's Short Mix,12.7,299.0,0 days 00:29:45,0,0,0.0,25.6,66.6,239,0,69,117,200,0.0,194,175,910,0,0.0,0 days 00:29:29,0 days 00:29:43,5,121,Tacx
168,Indoor Cycling,2021-11-14 15:16:43,Jízda na kole uvnitř,13.05,417.0,0 days 00:30:00,160,180,3.6,26.1,47.2,0,0,73,119,235,44.6,223,208,730,2050,22.0,0 days 00:27:50,0 days 00:30:00,0,0,Tacx
169,Gravel Cycling,2021-11-06 12:14:20,Praha Cyklistika na nezpevněných cestách,27.99,641.0,0 days 01:10:20,129,157,2.6,23.9,39.9,87,83,0,0,0,0.0,0,0,0,0,8.0,0 days 01:10:07,0 days 01:12:13,194,213,Bergamont
170,Cycling,2021-11-03 16:29:38,Cyklistika,2.0,263.0,0 days 00:13:07,79,138,0.0,9.1,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0 days 00:00:00,0 days 01:42:07,0,0,unknown
171,Gravel Cycling,2021-10-31 13:18:30,Praha Cyklistika na nezpevněných cestách,53.94,1268.0,0 days 02:23:53,132,173,3.2,22.5,47.9,362,357,0,0,0,0.0,0,0,0,0,11.0,0 days 02:23:25,0 days 02:40:20,197,423,Bergamont
172,Road Cycling,2021-10-30 15:06:43,Praha Silniční cyklistika,44.87,987.0,0 days 01:47:03,135,178,3.4,25.1,48.0,308,315,74,105,0,0.0,0,0,0,6868,8.0,0 days 01:46:49,0 days 01:49:54,192,382,Roubaix
173,Gravel Cycling,2021-10-24 12:22:11,Kokořínsko,81.5,2400.0,0 days 03:52:51,149,180,5.0,21.0,61.1,879,964,0,0,0,0.0,0,0,0,0,5.0,0 days 03:51:55,0 days 04:51:11,164,454,Bergamont
174,Gravel Cycling,2021-10-23 14:27:59,Japonská cyklojízda,48.43,1327.0,0 days 02:12:54,142,179,3.6,21.9,39.9,343,340,0,0,0,0.0,0,0,0,0,7.0,0 days 02:12:23,0 days 02:32:10,187,409,Bergamont
175,Road Cycling,2021-10-20 14:37:40,Praha Silniční cyklistika,58.5,1299.0,0 days 02:28:02,138,171,3.6,23.7,55.3,504,517,74,109,0,0.0,0,0,0,9304,18.0,0 days 02:27:10,0 days 02:39:38,202,363,Roubaix
176,Gravel Cycling,2021-10-16 13:41:43,Americká cyklojízda,26.66,449.0,0 days 01:22:29,103,135,0.9,19.4,38.4,80,71,0,0,0,0.0,0,0,0,0,10.0,0 days 01:21:58,0 days 01:41:30,196,216,Bergamont
177,Gravel Cycling,2021-10-05 16:05:13,Praha Cyklistika na nezpevněných cestách,36.05,713.0,0 days 01:28:28,125,148,2.3,24.5,38.7,63,67,0,0,0,0.0,0,0,0,0,15.0,0 days 01:28:08,0 days 01:33:35,194,208,Bergamont
178,Gravel Cycling,2021-10-02 12:37:27,Praha Cyklistika na nezpevněných cestách,33.58,726.0,0 days 01:51:59,113,163,2.0,18.0,45.2,273,266,0,0,0,0.0,0,0,0,0,17.0,0 days 01:51:08,0 days 02:20:39,198,393,Bergamont
179,Gravel Cycling,2021-09-30 17:01:25,Praha Cyklistika na nezpevněných cestách,34.44,740.0,0 days 01:39:15,120,152,2.0,20.8,37.2,118,119,0,0,0,0.0,0,0,0,0,8.0,0 days 01:38:54,0 days 01:57:52,190,210,Bergamont
180,Road Cycling,2021-09-28 09:17:55,18.+19.💯 #SBCR kopečky challenge,204.41,4970.0,0 days 08:46:54,148,178,5.0,23.3,61.2,2707,2712,75,217,0,0.0,0,0,0,33313,13.0,0 days 08:46:12,0 days 09:58:09,192,513,Roubaix
181,Cycling,2021-09-27 16:11:03,Praha Cyklistika,2.8,97.0,0 days 00:11:22,121,145,0.0,14.8,82.1,13,15,0,0,0,0.0,0,0,0,0,0.0,0 days 00:09:40,0 days 00:11:22,196,211,unknown
